criterion,max_features,max_depth,F1_deceased,Recall_deceased,Accuracy,Recall
gini,20,,0.12272291466922342,0.29493087557603687,0.817122098536685,0.817122098536685
gini,20,sqrt,0.04878048780487805,0.2894736842105263,0.7706549173511519,0.7706549173511519
gini,20,log2,0.0350109409190372,0.18181818181818182,0.7523598325138964,0.7523598325138964
gini,23,,0.12742382271468145,0.26848249027237353,0.817793210101688,0.817793210101688
gini,23,sqrt,0.08438818565400844,0.1392757660167131,0.8015406387231373,0.8015406387231373
gini,23,log2,0.062176165803108814,0.2158273381294964,0.7722305705907241,0.7722305705907241
gini,25,,0.12205754141238011,0.21806853582554517,0.8154005514786339,0.8154005514786339
gini,25,sqrt,0.0707803992740472,0.14130434782608695,0.7992646951548663,0.7992646951548663
gini,25,log2,0.0757439134355275,0.14840989399293286,0.7968428577681164,0.7968428577681164
gini,27,,0.12010008340283568,0.19302949061662197,0.8117386166348132,0.8117386166348132
gini,27,sqrt,0.10517387616624259,0.17563739376770537,0.8061071152415272,0.8061071152415272
gini,27,log2,0.07296538821328344,0.16049382716049382,0.7947857549275638,0.7947857549275638
entropy,20,,0.11132437619961613,0.26851851851851855,0.8145397779496083,0.8145397779496083
entropy,20,sqrt,0.05882352941176471,0.15463917525773196,0.7411260084910203,0.7411260084910203
entropy,20,log2,0.03695652173913044,0.18085106382978725,0.7587937499088163,0.7587937499088163
entropy,23,,0.10608695652173912,0.1882716049382716,0.8155902134426565,0.8155902134426565
entropy,23,sqrt,0.06870229007633587,0.16216216216216217,0.7924514538319012,0.7924514538319012
entropy,23,log2,0.03807615230460922,0.11046511627906977,0.7447587645711451,0.7447587645711451
entropy,25,,0.11471321695760599,0.1830238726790451,0.8150212275505887,0.8150212275505887
entropy,25,sqrt,0.08356545961002786,0.17928286852589642,0.7734852574296427,0.7734852574296427
entropy,25,log2,0.06473594548551959,0.10919540229885058,0.7935018893249492,0.7935018893249492
entropy,27,,0.10643367752184274,0.15473441108545036,0.8116073121981822,0.8116073121981822
entropy,27,sqrt,0.08885424785658612,0.12472647702407003,0.7907007280101542,0.7907007280101542
entropy,27,log2,0.06615776081424936,0.11048158640226628,0.7966823745677896,0.7966823745677896
