max_depth,learning_rate,gamma,reg_lambda,F1_deceased,Recall_deceased,Accuracy,Recall
5.0,0.1,0.0,0.0,0.09741655126307244,0.05311393459695897,0.7190389033840882,0.7190389033840882
6.0,0.1,0.0,0.0,0.10071352810722206,0.0549592212575638,0.7268546282954944,0.7268546282954944
7.0,0.1,0.0,0.0,0.10813462859385732,0.05910431751139716,0.7338447758869114,0.7338447758869114
5.0,0.01,0.0,0.0,0.07743822090651455,0.04130958112662494,0.6652439736749873,0.6652439736749873
6.0,0.01,0.0,0.0,0.09184561810795125,0.05013464280057025,0.7136609681062347,0.7136609681062347
7.0,0.01,0.0,0.0,0.09535625664657922,0.052276513048306494,0.7270921764866233,0.7270921764866233
5.0,0.05,0.0,0.0,0.077138965024865,0.04090157514576625,0.6606293079948596,0.6606293079948596
6.0,0.05,0.0,0.0,0.09759144513292026,0.05343365253077975,0.7243116943806223,0.7243116943806223
7.0,0.05,0.0,0.0,0.10416947780326541,0.057472975789881184,0.7370653062813972,0.7370653062813972
5.0,0.1,0.25,0.0,0.09667217370781214,0.05265322912381736,0.7179056816854239,0.7179056816854239
6.0,0.1,0.25,0.0,0.10090281465746148,0.05506956155143339,0.7269597725768138,0.7269597725768138
7.0,0.1,0.25,0.0,0.10635408476877993,0.057975531831995636,0.7309708321975155,0.7309708321975155
5.0,0.01,0.25,0.0,0.07743542535333298,0.04130799006297302,0.6652361852097044,0.6652361852097044
6.0,0.01,0.25,0.0,0.09353728681586417,0.05123971490684939,0.7169593831535496,0.7169593831535496
7.0,0.01,0.25,0.0,0.09534659982783938,0.05227070841661115,0.7270765995560575,0.7270765995560575
5.0,0.05,0.25,0.0,0.07710598383102933,0.040881979585093986,0.6605514233420304,0.6605514233420304
6.0,0.05,0.25,0.0,0.09758656873032528,0.05343072882468811,0.7242844347521321,0.7242844347521321
7.0,0.05,0.25,0.0,0.10401100531384026,0.057382660198220185,0.7369329023715877,0.7369329023715877
5.0,0.1,1.0,0.0,0.09701009422878655,0.052912405513561585,0.7197982787491725,0.7197982787491725
6.0,0.1,1.0,0.0,0.09793515586674398,0.053079377356666346,0.7183768838350403,0.7183768838350403
7.0,0.1,1.0,0.0,0.10600203941283881,0.057759400439333246,0.7301880914365825,0.7301880914365825
5.0,0.01,1.0,0.0,0.07743542535333298,0.04130799006297302,0.6652361852097044,0.6652361852097044
6.0,0.01,1.0,0.0,0.09180169286577992,0.050110888161368675,0.7136492854083103,0.7136492854083103
7.0,0.01,1.0,0.0,0.09573078597587523,0.05253984763725297,0.7285408310292457,0.7285408310292457
5.0,0.05,1.0,0.0,0.07564788088140192,0.04001668752607426,0.6549242571751236,0.6549242571751236
6.0,0.05,1.0,0.0,0.09751586944569399,0.053393541324575806,0.7243740021028856,0.7243740021028856
7.0,0.05,1.0,0.0,0.10413492927094668,0.05750165234633179,0.7385723743136415,0.7385723743136415
